zip,area,value,tier
90048,Los Angeles CA,1766384,prime
90049,Los Angeles CA,2988305,ultra
90056,Ladera Heights CA,1669941,prime
90064,Los Angeles CA,1856684,prime
90065,Los Angeles CA,1109984,prime
90066,Los Angeles CA,1717641,prime
90067,Los Angeles CA,1593932,prime
90068,Los Angeles CA,1652986,prime
90069,West Hollywood CA,1270019,prime
90077,Los Angeles CA,3079109,ultra
90094,Los Angeles CA,1355555,prime
90210,Beverly Hills CA,5242275,ultra
90211,Beverly Hills CA,2238235,ultra
90212,Beverly Hills CA,2420229,ultra
90230,Culver City CA,1090242,prime
90232,Culver City CA,1746630,prime
90245,El Segundo CA,1767228,prime
90254,Hermosa Beach CA,2268652,ultra
90265,Malibu CA,3191181,ultra
90266,Manhattan Beach CA,3289309,ultra
90272,Los Angeles CA,2929779,ultra
90274,Rolling Hills Estates CA,2530146,ultra
90275,Rancho Palos Verdes CA,1820447,prime
90277,Redondo Beach CA,1650640,prime
90278,Redondo Beach CA,1417518,prime
90290,Topanga CA,1445805,prime
90291,Los Angeles CA,1927363,prime
90292,Marina del Rey CA,1238797,prime
90401,Santa Monica CA,1336765,prime
90402,Santa Monica CA,4905611,ultra
90403,Santa Monica CA,1482790,prime
90404,Santa Monica CA,1070175,prime
90405,Santa Monica CA,1945249,prime
90503,Torrance CA,1303612,prime
90504,Torrance CA,1001945,prime
90505,Torrance CA,1425193,prime
90623,La Palma CA,1213185,prime
90630,Cypress CA,1087576,prime
90703,Cerritos CA,1101376,prime
90720,Los Alamitos CA,1580418,prime
90742,Huntington Beach CA,2189271,ultra
90803,Long Beach CA,1338800,prime
90808,Long Beach CA,1041404,prime
90814,Long Beach CA,1003011,prime
90815,Long Beach CA,1051199,prime
91001,Altadena CA,1115960,prime
91006,Arcadia CA,1399017,prime
91007,Arcadia CA,1423084,prime
91008,Bradbury CA,1916991,prime
91011,La Canada Flintridge CA,2497996,ultra
91020,La Crescenta-Montrose CA,1026770,prime
91024,Sierra Madre CA,1440426,prime
91030,South Pasadena CA,1715248,prime
91103,Pasadena CA,1092327,prime
91104,Pasadena CA,1230508,prime
91105,Pasadena CA,1823415,prime
91107,Pasadena CA,1336884,prime
91108,San Marino CA,2820708,ultra
91201,Glendale CA,1297455,prime
91202,Glendale CA,1241374,prime
91206,Glendale CA,1139265,prime
91207,Glendale CA,1745092,prime
91208,Glendale CA,1550915,prime
91210,Glendale CA,1162192,prime
91214,La Crescenta-Montrose CA,1257697,prime
91301,Agoura Hills CA,1246386,prime
91302,Calabasas CA,1964055,prime
91307,Los Angeles CA,1004839,prime
91320,Thousand Oaks CA,1025390,prime
91325,Los Angeles CA,1040091,prime
91326,Los Angeles CA,1235787,prime
91356,Los Angeles CA,1350979,prime
91360,Thousand Oaks CA,1021453,prime
91361,Westlake Village CA,1563708,prime
91362,Thousand Oaks CA,1205401,prime
91364,Los Angeles CA,1303215,prime
91367,Los Angeles CA,1115600,prime
91377,Oak Park CA,1144782,prime
91401,Los Angeles CA,1119294,prime
91403,Los Angeles CA,1481629,prime
91423,Los Angeles CA,1447947,prime
91436,Los Angeles CA,2236563,ultra
91501,Burbank CA,1251052,prime
91504,Burbank CA,1233178,prime
91505,Burbank CA,1132306,prime
91506,Burbank CA,1227234,prime
91602,Los Angeles CA,1069346,prime
91604,Los Angeles CA,1706061,prime
91607,Los Angeles CA,1253120,prime
91711,Claremont CA,1029286,prime
91741,Glendora CA,1023423,prime
91765,Diamond Bar CA,1032954,prime
91775,San Gabriel CA,1279162,prime
91780,Temple City CA,1099060,prime
91789,Walnut CA,1154874,prime
91902,Bonita CA,1158122,prime
91914,Chula Vista CA,1179723,prime
91935,Jamul CA,1031735,prime
91941,La Mesa CA,1037085,prime
92003,Bonsall CA,1019113,prime
92007,Encinitas CA,2150602,ultra
92008,Carlsbad CA,1464188,prime
92009,Carlsbad CA,1586842,prime
92010,Carlsbad CA,1296939,prime
92011,Carlsbad CA,1385310,prime
92014,San Diego CA,2886990,ultra
92024,Encinitas CA,1891492,prime
92029,Escondido CA,1183851,prime
92037,San Diego CA,2400473,ultra
92054,Oceanside CA,1134351,prime
92059,Pala CA,1072876,prime
92064,Poway CA,1237994,prime
92067,Rancho Santa Fe CA,4741951,ultra
92075,Solana Beach CA,2264088,ultra
92078,San Marcos CA,1024908,prime
92091,Rancho Santa Fe CA,3303526,ultra
92103,San Diego CA,1092438,prime
92106,San Diego CA,1811667,prime
92107,San Diego CA,1517960,prime
92109,San Diego CA,1525073,prime
92110,San Diego CA,1027168,prime
92116,San Diego CA,1020071,prime
92117,San Diego CA,1100340,prime
92118,Coronado CA,2561268,ultra
92120,San Diego CA,1055258,prime
92121,San Diego CA,1112075,prime
92122,San Diego CA,1102876,prime
92124,San Diego CA,1075060,prime
92126,San Diego CA,1011530,prime
92127,San Diego CA,1643582,prime
92128,San Diego CA,1012534,prime
92129,San Diego CA,1379705,prime
92130,San Diego CA,2093083,ultra
92131,San Diego CA,1507870,prime
92210,Indian Wells CA,1445335,prime
92590,Temecula CA,1477930,prime
92602,Irvine CA,2034975,ultra
92603,Irvine CA,2399594,ultra
92604,Irvine CA,1396164,prime
92606,Irvine CA,1481871,prime
92610,Lake Forest CA,1256959,prime
92612,Irvine CA,1201000,prime
92614,Irvine CA,1234869,prime
92618,Irvine CA,1593414,prime
92620,Irvine CA,1697009,prime
92624,Dana Point CA,1677123,prime
92625,Newport Beach CA,4268374,ultra
92626,Costa Mesa CA,1459332,prime
92627,Costa Mesa CA,1392449,prime
92629,Dana Point CA,1765748,prime
92630,Lake Forest CA,1201284,prime
92646,Huntington Beach CA,1406749,prime
92647,Huntington Beach CA,1259621,prime
92648,Huntington Beach CA,1554801,prime
92649,Huntington Beach CA,1386393,prime
92651,Laguna Beach CA,3110161,ultra
92653,Laguna Hills CA,1295706,prime
92655,CA,1061121,prime
92657,Newport Beach CA,5606102,ultra
92660,Newport Beach CA,3273269,ultra
92661,Newport Beach CA,4618792,ultra
92662,Newport Beach CA,4627201,ultra
92663,Newport Beach CA,2732545,ultra
92672,San Clemente CA,1737677,prime
92673,San Clemente CA,1744214,prime
92675,San Juan Capistrano CA,1348035,prime
92676,Silverado CA,1071583,prime
92677,Laguna Niguel CA,1493046,prime
92679,Coto de Caza CA,1598532,prime
92683,Westminster CA,1103915,prime
92688,Rancho Santa Margarita CA,1026277,prime
92691,Mission Viejo CA,1231636,prime
92692,Mission Viejo CA,1228721,prime
92694,Ladera Ranch CA,1275322,prime
92705,North Tustin CA,1604284,prime
92706,Santa Ana CA,1043888,prime
92708,Fountain Valley CA,1400906,prime
92780,Tustin CA,1133027,prime
92782,Tustin CA,1338554,prime
92806,Anaheim CA,1005931,prime
92807,Anaheim CA,1160738,prime
92808,Anaheim CA,1218713,prime
92821,Brea CA,1119324,prime
92823,Brea CA,1296005,prime
92831,Fullerton CA,1070173,prime
92835,Fullerton CA,1323177,prime
92841,Garden Grove CA,1032279,prime
92845,Garden Grove CA,1128961,prime
92861,Villa Park CA,2326705,ultra
92865,Orange CA,1072950,prime
92866,Orange CA,1135017,prime
92867,Orange CA,1251855,prime
92869,Orange CA,1215801,prime
92870,Placentia CA,1119784,prime
92886,Yorba Linda CA,1378393,prime
92887,Yorba Linda CA,1517639,prime
93013,Carpinteria CA,1521465,prime
93023,Ojai CA,1152254,prime
93066,Somis CA,1548514,prime
93067,Summerland CA,2661232,ultra
93101,Santa Barbara CA,1508061,prime
93103,Santa Barbara CA,1766478,prime
93105,Santa Barbara CA,1935336,prime
93108,Montecito CA,5120277,ultra
93109,Santa Barbara CA,2450406,ultra
93110,Santa Barbara CA,1937520,prime
93111,Santa Barbara CA,1690718,prime
93117,Goleta CA,1395566,prime
93401,San Luis Obispo CA,1105789,prime
93405,San Luis Obispo CA,1100290,prime
93420,Arroyo Grande CA,1051431,prime
93424,CA,1550256,prime
93428,Cambria CA,1015768,prime
93430,Cayucos CA,1359444,prime
93432,Creston CA,1000659,prime
93441,Los Olivos CA,1775486,prime
93449,Pismo Beach CA,1121072,prime
93460,Santa Ynez CA,1903487,prime
93463,Solvang CA,1436479,prime
93908,Salinas CA,1174212,prime
93920,Big Sur CA,1777013,prime
93923,Carmel-by-the-Sea CA,2343414,ultra
93924,Carmel Valley CA,1455679,prime
93940,Monterey CA,1135276,prime
93950,Pacific Grove CA,1407012,prime
93953,Del Monte Forest CA,2777373,ultra
94002,Belmont CA,2323648,ultra
94005,Brisbane CA,1168896,prime
94010,Hillsborough CA,3456394,ultra
94014,Daly City CA,1014081,prime
94015,Daly City CA,1190603,prime
94018,Half Moon Bay CA,1511582,prime
94019,Half Moon Bay CA,1600350,prime
94022,Los Altos CA,5101025,ultra
94024,Los Altos CA,4660337,ultra
94025,Menlo Park CA,2902160,ultra
94027,Atherton CA,8305049,ultra
94028,Portola Valley CA,4260596,ultra
94030,Millbrae CA,2083763,ultra
94037,Moss Beach CA,1518975,prime
94038,Moss Beach CA,1469158,prime
94040,Mountain View CA,2898611,ultra
94041,Mountain View CA,2275407,ultra
94043,Mountain View CA,1590039,prime
94044,Pacifica CA,1281483,prime
94060,Pescadero CA,1174872,prime
94061,Redwood City CA,2001821,ultra
94062,Emerald Lake Hills CA,2719029,ultra
94063,Redwood City CA,1308869,prime
94065,Redwood City CA,1834779,prime
94066,San Bruno CA,1319316,prime
94070,San Carlos CA,2468870,ultra
94080,South San Francisco CA,1235601,prime
94085,Sunnyvale CA,1566316,prime
94086,Sunnyvale CA,1933932,prime
94087,Sunnyvale CA,2852226,ultra
94089,Sunnyvale CA,1484460,prime
94104,San Francisco CA,1135364,prime
94105,San Francisco CA,1103827,prime
94107,San Francisco CA,1033061,prime
94108,San Francisco CA,1035457,prime
94109,San Francisco CA,1040528,prime
94110,San Francisco CA,1386906,prime
94111,San Francisco CA,1094147,prime
94112,San Francisco CA,1156683,prime
94114,San Francisco CA,1948470,prime
94115,San Francisco CA,1482150,prime
94116,San Francisco CA,1598620,prime
94117,San Francisco CA,1616826,prime
94118,San Francisco CA,2155271,ultra
94121,San Francisco CA,1770873,prime
94122,San Francisco CA,1664037,prime
94123,San Francisco CA,2408450,ultra
94127,San Francisco CA,1984558,prime
94129,San Francisco CA,1582588,prime
94131,San Francisco CA,1713078,prime
94132,San Francisco CA,1379412,prime
94133,San Francisco CA,1369208,prime
94134,San Francisco CA,1084801,prime
94158,San Francisco CA,1320534,prime
94301,Palo Alto CA,4362340,ultra
94303,East Palo Alto CA,2135239,ultra
94304,CA,3265783,ultra
94305,Stanford CA,3262846,ultra
94306,Palo Alto CA,3453747,ultra
94401,San Mateo CA,1231798,prime
94402,San Mateo CA,2491720,ultra
94403,San Mateo CA,1836108,prime
94404,Foster City CA,1757106,prime
94501,Alameda CA,1165174,prime
94502,Alameda CA,1180612,prime
94506,Danville CA,2057005,ultra
94507,Alamo CA,2564029,ultra
94515,Calistoga CA,1087366,prime
94517,Clayton CA,1059927,prime
94523,Pleasant Hill CA,1001093,prime
94526,Danville CA,1788428,prime
94528,Diablo CA,3134683,ultra
94530,El Cerrito CA,1157282,prime
94536,Fremont CA,1443812,prime
94538,Fremont CA,1334898,prime
94539,Fremont CA,2253305,ultra
94542,Hayward CA,1258457,prime
94546,Castro Valley CA,1038513,prime
94549,Lafayette CA,1960178,prime
94550,Livermore CA,1238611,prime
94551,Livermore CA,1001887,prime
94552,Castro Valley CA,1401196,prime
94555,Fremont CA,1510575,prime
94556,Moraga CA,1662530,prime
94560,Newark CA,1244669,prime
94563,Orinda CA,1993717,prime
94566,Pleasanton CA,1736724,prime
94568,Dublin CA,1293346,prime
94574,Saint Helena CA,1671792,prime
94582,San Ramon CA,1738367,prime
94583,San Ramon CA,1406006,prime
94586,Sunol CA,1476778,prime
94587,Union City CA,1260280,prime
94588,Pleasanton CA,1433128,prime
94596,Walnut Creek CA,1106779,prime
94597,Walnut Creek CA,1008547,prime
94598,Walnut Creek CA,1416853,prime
94599,Yountville CA,1345444,prime
94602,Oakland CA,1014916,prime
94610,Oakland CA,1219056,prime
94611,Piedmont CA,1421081,prime
94618,Oakland CA,1671060,prime
94702,Berkeley CA,1217091,prime
94703,Berkeley CA,1311702,prime
94704,Berkeley CA,1180427,prime
94705,Berkeley CA,2030973,ultra
94706,Albany CA,1276325,prime
94707,Berkeley CA,1830381,prime
94708,Berkeley CA,1661038,prime
94709,Berkeley CA,1355164,prime
94710,Berkeley CA,1023310,prime
94901,San Rafael CA,1431894,prime
94903,San Rafael CA,1277649,prime
94904,Kentfield CA,2314478,ultra
94920,Tiburon CA,3366052,ultra
94923,Occidental CA,1420657,prime
94924,Bolinas CA,1930587,prime
94925,Corte Madera CA,1901016,prime
94929,CA,1430963,prime
94930,Fairfax CA,1252590,prime
94937,Point Reyes Station CA,1492101,prime
94938,Bolinas CA,1060133,prime
94939,Larkspur CA,2249052,ultra
94940,Marshall CA,1536140,prime
94941,Mill Valley CA,2177011,ultra
94945,Novato CA,1101043,prime
94946,Nicasio CA,2129213,ultra
94947,Novato CA,1036255,prime
94949,Novato CA,1240951,prime
94951,Penngrove CA,1275377,prime
94952,Petaluma CA,1076659,prime
94956,Point Reyes Station CA,1554684,prime
94957,Ross CA,4165232,ultra
94960,San Anselmo CA,1713061,prime
94963,Lagunitas CA,1324220,prime
94965,Sausalito CA,1576864,prime
94970,Stinson Beach CA,3416525,ultra
94971,Tomales CA,1134557,prime
94973,Woodacre CA,1139070,prime
95002,San Jose CA,1243076,prime
95003,Aptos CA,1345243,prime
95008,Campbell CA,1914786,prime
95010,Capitola CA,1250289,prime
95014,Cupertino CA,3128880,ultra
95020,Gilroy CA,1070235,prime
95030,Los Gatos CA,3598235,ultra
95032,Los Gatos CA,2639597,ultra
95033,Lexington Hills CA,1448164,prime
95035,Milpitas CA,1470776,prime
95037,Morgan Hill CA,1352643,prime
95039,Moss Landing CA,1086090,prime
95046,San Martin CA,1640528,prime
95050,Santa Clara CA,1638884,prime
95051,Santa Clara CA,1910512,prime
95054,Santa Clara CA,1519242,prime
95060,Santa Cruz CA,1385443,prime
95062,Santa Cruz CA,1337388,prime
95065,Santa Cruz CA,1366991,prime
95066,Scotts Valley CA,1271501,prime
95070,Saratoga CA,4092595,ultra
95073,Soquel CA,1352756,prime
95111,San Jose CA,1068712,prime
95112,San Jose CA,1008080,prime
95117,San Jose CA,1794601,prime
95118,San Jose CA,1678762,prime
95119,San Jose CA,1431844,prime
95120,San Jose CA,2276467,ultra
95121,San Jose CA,1265619,prime
95123,San Jose CA,1382871,prime
95124,San Jose CA,1968190,prime
95125,San Jose CA,1896202,prime
95126,San Jose CA,1208564,prime
95127,San Jose CA,1110259,prime
95128,San Jose CA,1486072,prime
95129,San Jose CA,2673119,ultra
95130,San Jose CA,2156146,ultra
95131,San Jose CA,1363908,prime
95132,San Jose CA,1674355,prime
95133,San Jose CA,1155781,prime
95134,San Jose CA,1071805,prime
95135,San Jose CA,1765440,prime
95136,San Jose CA,1389130,prime
95138,CA,1809633,prime
95139,San Jose CA,1360509,prime
95140,CA,1841104,prime
95148,San Jose CA,1551313,prime
95439,Fulton CA,1012751,prime
95441,Geyserville CA,1117292,prime
95442,Glen Ellen CA,1210846,prime
95448,Healdsburg CA,1111649,prime
95452,Kenwood CA,1266165,prime
95465,Occidental CA,1147819,prime
95472,Sebastopol CA,1110016,prime
95497,The Sea Ranch CA,1405146,prime
95746,Granite Bay CA,1174346,prime
95830,CA,1028758,prime
95837,Sacramento CA,1012840,prime
96140,Carnelian Bay CA,1122903,prime
96141,Homewood CA,1323295,prime
96145,Tahoe City CA,1258451,prime
96146,Olympic Valley CA,1021001,prime
96161,Truckee CA,1028652,prime
96708,Haiku HI,1326748,prime
96712,Haleiwa HI,1652511,prime
96714,Hanalei HI,2314049,ultra
96722,Princeville HI,1518812,prime
96725,Holualoa HI,1009232,prime
96730,Kaaawa HI,1057748,prime
96731,Kahuku HI,1069072,prime
96732,Kahului HI,1033183,prime
96734,Kailua HI,1533038,prime
96741,Kalaheo HI,1091878,prime
96743,Waimea HI,1245587,prime
96744,Kaneohe HI,1087770,prime
96754,Kilauea HI,2143682,ultra
96756,Koloa HI,1190222,prime
96762,Laie HI,1260704,prime
96768,Makawao HI,1120972,prime
96779,Paia HI,1319091,prime
96790,Kula HI,1350217,prime
96791,Waialua HI,1038278,prime
96795,Waimanalo HI,1093304,prime
96816,Honolulu HI,1283687,prime
96819,Honolulu HI,1078414,prime
96821,Honolulu HI,1812869,prime
96825,Honolulu HI,1244750,prime
97034,Lake Oswego OR,1143698,prime
97703,Bend OR,1021211,prime
97753,Powell Butte OR,1023238,prime
98004,Bellevue WA,1971845,prime
98005,Bellevue WA,1609173,prime
98006,Bellevue WA,1672075,prime
98007,Bellevue WA,1034704,prime
98008,Bellevue WA,1411271,prime
98011,Bothell WA,1047355,prime
98014,Carnation WA,1030148,prime
98020,Edmonds WA,1162699,prime
98021,Bothell WA,1133405,prime
98024,Fall City WA,1266148,prime
98027,Issaquah WA,1197418,prime
98028,Kenmore WA,1036437,prime
98029,Issaquah WA,1172248,prime
98033,Kirkland WA,1640949,prime
98034,Kirkland WA,1068918,prime
98039,Medina WA,4564965,ultra
98040,Mercer Island WA,2322941,ultra
98045,North Bend WA,1004541,prime
98050,Issaquah WA,1445023,prime
98052,Redmond WA,1348109,prime
98053,Redmond WA,1447571,prime
98065,Snoqualmie WA,1105040,prime
98072,Woodinville WA,1309850,prime
98074,Sammamish WA,1587486,prime
98075,Sammamish WA,1813706,prime
98077,Woodinville WA,1519282,prime
98105,Seattle WA,1190786,prime
98110,Bainbridge Island WA,1186607,prime
98112,Seattle WA,1381174,prime
98115,Seattle WA,1068969,prime
98116,Seattle WA,1013537,prime
98117,Seattle WA,1008114,prime
98119,Seattle WA,1039141,prime
98177,Shoreline WA,1150717,prime
98199,Seattle WA,1269527,prime
98280,Orcas WA,1418901,prime
98286,Shaw Island WA,1124249,prime
98296,Snohomish WA,1057162,prime
98333,Fox Island WA,1074850,prime
